asset_id,substation,oil_temp_c,vibration_mms,gas_ppm,wind_speed_kmh,customers_impacted,failure_label
TR_001,Substation_C,85.38051141128344,4.200746102576122,332.7323796214582,29.35416165880545,12164,1
TR_002,Substation_D,74.84626381236782,3.885536833274875,308.16583991533986,73.22442654999902,8719,0
TR_003,Substation_A,60.1192950586113,0.302572319870842,233.67629106767356,89.76522149180623,23964,0
TR_004,Substation_C,92.89667628095167,2.7958578382466355,382.8583860086539,7.55221045299839,18869,1
TR_005,Substation_C,84.50752621600216,3.103545388408271,88.18506105607709,81.27609859222922,10213,0
TR_006,Substation_D,50.570101057417936,3.250699969085514,52.61304202075235,57.923595355885936,8988,0
TR_007,Substation_A,99.21026699209976,4.6833617168959245,343.04516711261465,87.7375226290098,2681,1
TR_008,Substation_A,93.46492079000598,4.315460119142339,181.26842848716183,44.525808989746345,12094,0
TR_009,Substation_C,101.73699436397507,4.902450233068213,340.3178531407536,77.02797409856677,19180,1
TR_010,Substation_B,87.1717680452434,6.142577766182813,358.3051800262118,10.303495830853564,7664,1
TR_011,Substation_C,79.87198773582634,6.522587335857138,34.35846151143786,33.498719256655136,19481,0
TR_012,Substation_C,67.18579735889023,5.773172302189305,354.5512575645637,10.696405708852847,1401,0
TR_013,Substation_C,100.62735141801086,7.648637198043984,184.84443159407465,87.904166345721,22944,1
TR_014,Substation_C,96.29415281752654,0.2440374031432569,209.06867071165055,74.44278211810612,9790,1
TR_015,Substation_D,42.93921355690231,1.6466460869000143,254.371079326352,77.4665308059075,18561,0
TR_016,Substation_A,41.71385334232138,0.15974671232732277,371.28921662473385,84.727044671881,3381,0
TR_017,Substation_D,64.47011884707322,5.215050241821364,17.45527682760797,12.233796320181755,13558,0
TR_018,Substation_D,92.68596650081915,7.194441336704896,195.96895264394868,37.775795363633335,6122,0
TR_019,Substation_D,104.17294840547139,2.023510142952764,278.21159654791865,11.03796556874018,24936,1
TR_020,Substation_C,49.777097921729336,7.423572903890823,291.8557135023091,22.91741363175243,1878,0
